participantID,block_n,trials,blockType,forcedTrial,gem_presented,market_presented,door_side,chooseLeft,outcomeState,outcome,ons_fixation,ons_door_display,ons_responsecue,ons_gem_fixation,ons_outcome_display,ons_condition_text,ons_trigger,missed_trial,rew_loss,rt,prob_market_presented,correct_choice,market_reversal,pick_black,black_presented_force,prob_independent_1,prob_independent_2,prob_dependent,blackFirst,gem_colour
1,2,39,1,1,1,3,2,0,1,1,9060.354182,9064.607134,9066.992102,9068.509829,9072.812795,NaN,NaN,0,1,0.649935309,0.2,NaN,0,0,0,0.8,0.2,0.2,-1,4
1,2,40,1,1,2,3,1,1,1,-1,9074.830858,9077.215837,9079.317291,9080.835007,9086.08867,NaN,NaN,0,-1,0.660300338,0.2,NaN,0,0,0,0.8,0.2,0.2,-1,2
1,2,41,1,1,1,3,1,1,2,0,9088.106698,9090.174798,9092.693217,9094.210922,9098.46386,NaN,NaN,0,1,0.700944205,0.2,NaN,0,0,0,0.8,0.2,0.2,-1,4
1,2,42,1,1,2,3,2,0,1,1,9100.481922,9106.202575,9107.937126,9109.454793,9113.174033,NaN,NaN,0,1,0.609690743,0.2,NaN,0,0,0,0.8,0.2,0.2,-1,2
1,2,43,1,1,2,3,1,1,2,0,9115.192091,9120.412367,9123.4478,9124.965516,9129.451962,NaN,NaN,0,1,0.444636363,0.2,NaN,0,0,0,0.8,0.2,0.2,-1,2
1,2,44,1,0,1,3,1,1,1,-1,9131.469995,9136.239977,9138.041221,9139.558954,9145.496377,NaN,NaN,0,-1,0.742661888,0.2,0,0,0,NaN,0.8,0.2,0.2,-1,4
1,2,45,1,1,1,3,1,1,2,0,9147.514447,9152.484541,9154.052293,9155.570008,9157.83827,NaN,NaN,0,1,0.723382462,0.2,NaN,0,1,1,0.8,0.2,0.2,1,4
1,2,46,1,0,1,3,2,0,1,-1,9159.856302,9163.675608,9166.093949,9167.611675,9172.214857,NaN,NaN,0,-1,0.555305578,0.2,1,0,1,NaN,0.8,0.2,0.2,1,4
1,2,47,1,1,1,3,1,1,1,1,9174.232908,9179.219699,9181.804813,9183.322527,9187.325293,NaN,NaN,0,1,0.580125408,0.2,NaN,0,0,0,0.8,0.2,0.2,-1,4
1,2,48,1,0,2,3,2,1,1,-1,9189.343352,9191.578243,9194.463561,9195.981286,9201.618528,NaN,NaN,0,-1,0.483860052,0.2,1,0,1,NaN,0.8,0.2,0.2,-1,2
1,2,49,1,1,2,3,1,1,2,0,9203.636568,9208.006257,9211.158435,9212.676152,9216.712276,NaN,NaN,0,-1,0.604755692,0.2,NaN,0,1,1,0.8,0.2,0.2,1,2
1,2,50,1,1,1,3,2,0,2,0,9218.730337,9223.200096,9224.834557,9226.352283,9228.487084,NaN,NaN,0,-1,0.840228743,0.8,NaN,1,1,1,0.8,0.2,0.8,1,4
1,2,51,1,0,2,3,2,0,2,0,9230.505141,9234.641337,9238.077057,9239.59476,9244.164589,NaN,NaN,0,-1,0.475198669,0.8,0,0,1,NaN,0.8,0.2,0.8,1,2
1,2,52,1,0,1,3,2,1,1,-1,9246.182649,9248.467568,9250.71912,9252.236834,9256.60652,NaN,NaN,0,-1,0.642725411,0.8,0,0,1,NaN,0.8,0.2,0.8,-1,4
1,2,53,1,0,2,3,1,NaN,9,NaN,9258.624581,9261.109636,9263.060983,9264.578709,9267.030397,NaN,NaN,1,1,NaN,0.8,0,0,NaN,NaN,0.8,0.2,0.8,1,2
1,2,54,1,1,1,3,2,0,1,1,9269.048443,9271.666945,9274.969214,9276.48693,9279.939316,NaN,NaN,0,1,0.444658278,0.8,NaN,0,1,1,0.8,0.2,0.8,1,4
1,2,55,1,0,1,3,1,0,2,0,9281.957381,9286.327097,9288.178349,9289.696064,9291.78084,NaN,NaN,0,-1,0.613067865,0.8,1,0,0,NaN,0.8,0.2,0.8,1,4
1,2,56,1,1,2,3,2,0,1,-1,9293.798901,9297.701623,9300.320076,9301.837825,9307.575101,NaN,NaN,0,-1,0.72585881,0.8,NaN,0,1,1,0.8,0.2,0.8,1,2
1,2,57,1,1,1,3,1,1,1,1,9309.593162,9314.429831,9317.898895,9319.41661,9323.569481,NaN,NaN,0,1,0.514746522,0.8,NaN,0,1,1,0.8,0.2,0.8,1,4
1,2,58,1,1,1,3,2,0,1,-1,9325.587544,9330.574327,9332.292179,9333.809894,9337.379038,NaN,NaN,0,-1,0.603085915,0.8,NaN,0,1,1,0.8,0.2,0.8,1,4
1,2,59,1,1,1,3,2,0,2,0,9339.397089,9343.766778,9346.285187,9347.8029,9350.371344,NaN,NaN,0,1,0.585669229,0.8,NaN,0,0,0,0.8,0.2,0.8,-1,4
1,2,60,1,1,1,3,2,0,2,0,9352.389404,9356.825808,9358.510303,9360.028021,9362.546438,NaN,NaN,0,1,0.795100924,0.8,NaN,0,0,0,0.8,0.2,0.8,-1,4
1,2,61,1,1,2,3,2,0,1,1,9364.564488,9369.984902,9372.436596,9373.954314,9379.741647,NaN,NaN,0,1,0.618358387,0.2,NaN,1,0,0,0.8,0.2,0.2,-1,2
1,2,62,1,1,2,3,2,0,1,1,9381.759737,9386.713134,9389.781923,9391.299638,9394.852093,NaN,NaN,0,1,0.569766356,0.2,NaN,0,0,0,0.8,0.2,0.2,-1,2
1,2,63,1,1,2,3,1,1,2,0,9396.870154,9400.189118,9402.140465,9403.658184,9406.543511,NaN,NaN,0,1,0.599925377,0.2,NaN,0,1,1,0.8,0.2,0.2,1,2
1,2,64,1,1,1,3,1,1,2,0,9408.561599,9413.615076,9416.283577,9417.801294,9420.019494,NaN,NaN,0,1,0.596175991,0.2,NaN,0,0,0,0.8,0.2,0.2,-1,4
