participantID,block_n,trials,blockType,forcedTrial,gem_presented,market_presented,door_side,chooseLeft,outcomeState,outcome,ons_fixation,ons_door_display,ons_responsecue,ons_gem_fixation,ons_outcome_display,ons_condition_text,ons_trigger,missed_trial,rew_loss,rt,prob_market_presented,correct_choice,market_reversal,pick_black,black_presented_force,prob_independent_1,prob_independent_2,prob_dependent,blackFirst
5,2,40,1,1,2,3,2,0,1,-1,30690.8426117402,30695.3957583043,30697.7307164475,30699.2484217231,30703.0343757275,NaN,NaN,0,-1,0.545524273675255,0.2,NaN,0,0,0,0.2,0.2,0.2,-1
5,2,41,1,1,1,3,1,1,2,0,30705.0524461513,30710.9565288666,30713.6250309508,30715.1427450492,30717.377624129,NaN,NaN,0,-1,0.529872138369683,0.2,NaN,0,1,1,0.2,0.2,0.2,1
5,2,42,1,1,1,3,2,0,2,0,30719.3956848763,30725.0329174116,30727.768143425,30729.2858680537,30733.6222019773,NaN,NaN,0,-1,0.670321848385356,0.2,NaN,0,1,1,0.2,0.2,0.2,1
5,2,43,1,1,2,3,2,0,2,0,30735.6402504865,30741.4109146578,30744.36295815,30745.8806765174,30751.5679315081,NaN,NaN,0,-1,0.585241182794562,0.8,NaN,1,0,0,0.2,0.2,0.8,-1
5,2,44,1,1,2,3,2,0,2,0,30753.5859945322,30755.8875864416,30758.9897308832,30760.5074469738,30765.2107109945,NaN,NaN,0,1,0.630049390347267,0.8,NaN,0,0,0,0.2,0.2,0.8,-1
5,2,45,1,0,1,3,1,1,1,-1,30767.2287586499,30770.0306969236,30772.4490352176,30773.9667635462,30776.7686915742,NaN,NaN,0,-1,1.26033101835492,0.8,0,0,1,NaN,0.2,0.2,0.8,1
5,2,46,1,1,2,3,1,1,2,0,30778.786752606,30781.4552632283,30784.6741560466,30786.1918718526,30789.6942944102,NaN,NaN,0,-1,0.5447717781135,0.8,NaN,0,0,0,0.2,0.2,0.8,-1
5,2,47,1,1,2,3,2,0,2,0,30791.712364834,30793.8304878528,30796.1988002762,30797.7165163668,30801.2189414858,NaN,NaN,0,1,0.62062725798387,0.8,NaN,0,1,1,0.2,0.2,0.8,1
5,2,48,1,1,2,3,1,1,2,0,30803.236989995,30805.7554073523,30807.5399659385,30809.0576954055,30814.2279452488,NaN,NaN,0,-1,0.639903837669408,0.8,NaN,0,0,0,0.2,0.2,0.8,-1
5,2,49,1,1,2,3,1,1,1,-1,30816.2459897736,30821.0493069584,30823.7345053935,30825.2522123768,30830.0888903878,NaN,NaN,0,-1,0.660082615133433,0.8,NaN,0,1,1,0.2,0.2,0.8,1
5,2,50,1,1,1,3,1,1,2,0,30832.1069508504,30836.276503127,30839.7455779502,30841.2632920485,30846.2834207355,NaN,NaN,0,-1,0.569638568755181,0.8,NaN,0,0,0,0.2,0.2,0.8,-1
5,2,51,1,1,2,3,2,0,2,0,30848.3014814827,30853.0714480872,30855.1395449508,30856.657259903,30860.5266040194,NaN,NaN,0,1,0.679359194818971,0.2,NaN,1,1,1,0.2,0.2,0.2,1
5,2,52,1,1,1,3,1,1,1,-1,30862.5446636282,30867.3646626492,30869.1659079098,30870.6836254234,30874.6530352267,NaN,NaN,0,-1,0.647583618367207,0.2,NaN,0,0,0,0.2,0.2,0.2,-1
5,2,53,1,0,2,3,1,0,1,-1,30876.6710965431,30880.1902066289,30882.2582941005,30883.7760110449,30888.495953771,NaN,NaN,0,-1,1.23026079492411,0.2,0,0,0,NaN,0.2,0.2,0.2,1
5,2,54,1,1,1,3,2,0,2,0,30890.5140019956,30895.5675063083,30897.6022375074,30899.119952175,30901.6216831424,NaN,NaN,0,1,0.41040236882327,0.2,NaN,0,1,1,0.2,0.2,0.2,1
5,2,55,1,1,1,3,1,1,2,0,30903.6397444589,30906.4416835864,30909.7272875267,30911.2450221167,30915.8482059356,NaN,NaN,0,-1,0.484851046294352,0.2,NaN,0,1,1,0.2,0.2,0.2,1
5,2,56,1,0,2,3,2,0,1,1,30917.8662558678,30923.0198113524,30925.855113583,30927.3728291044,30929.7411253053,NaN,NaN,0,1,0.539693286908005,0.2,0,0,1,NaN,0.2,0.2,0.2,1
